marca,modelo,tipo,motor,descricao,preco,quilometragem,cambio,ano,portas,combustivel,troca,cor,vendido,data
Renault,Sandero,Hatch Compacto,1.0,1.0 16v Authentique Hi-Power ,37500.0,58000,Manual,2015,5,Bi-Combustível,Não Aceita Troca,Prata,Não,04/05/2023
Ford,KA Hatch,Hatch Compacto,1.0,1.0 12v SE Plus TiVCT ,49700.0,70000,Manual,2018,5,Bi-Combustível,Aceito Troca,Branco,Não,04/05/2023
Fiat,Uno,Hatch Compacto,1.0,1.0 8v WAY ,26500.0,127500,Manual,2011,4,Bi-Combustível,Não Aceita Troca,Vermelho,Não,04/05/2023
Citroen,C4 Cactus,SUV,1.6,1.6 FEEL ,95000.0,6800,Automático,2021,5,Bi-Combustível,Aceito Troca,Vermelho,Não,04/05/2023
Ford,KA Sedan,Sedan Compacto,1.5,1.5 8v SE Plus ,42000.0,102000,Manual,2015,4,Bi-Combustível,Não Aceita Troca,Prata,Não,03/05/2023
Fiat,Argo,Hatch Médio,1.0,1.0 8v DRIVE ,60000.0,59000,Manual,2020,5,Bi-Combustível,Aceito Troca,Preto,Não,03/05/2023
Fiat,Strada Cab. Est.,Pick-up Compacta,1.6,1.6 16v TREKKING ,44000.0,222500,Manual,2012,2,Bi-Combustível,Não Aceita Troca,Cinza,Não,03/05/2023
Volkswagen,Gol,Hatch Compacto,1.0,1.0 8v Gol ,25900.0,194,Manual,2010,4,Bi-Combustível,Não Aceita Troca,Preto,Não,03/05/2023
Volkswagen,Jetta,Sedan Médio,2.0,2.0 Tsi tiptronic ,73500.0,120000,Automático,2014,4,Gasolina,Não Aceita Troca,Branco,Não,02/05/2023
Volkswagen,Parati,Perua Compacta,1.6,1.6 8v CL ,42800.0,79399,Manual,1995,2,Gasolina,Não Aceita Troca,Verde,Não,01/05/2023
Volkswagen,Saveiro Cab. Simples,Pick-up Compacta,1.6,1.6 8v Trendline ,64880.0,89980,Manual,2018,2,Bi-Combustível,Aceito Troca,Vermelho,Não,02/05/2023
Jeep,Renegade,Jipe,1.8,1.8 16v LONGITUDE AT ,75900.0,80000,Automático,2016,4,Bi-Combustível,Não Aceita Troca,Branco,Não,02/05/2023
Peugeot,2008,SUV,1.6,1.6 16v Allure Pack ,73000.0,28000,Automático,2021,5,Bi-Combustível,Aceito Troca,Branco,Não,02/05/2023
Volkswagen,Saveiro Cab. Simples,Pick-up Compacta,1.6,1.6 8v Trendline ,91000.0,12000,Manual,2022,2,Bi-Combustível,Não Aceita Troca,Branco,Não,30/04/2023
Volvo,C30,Hatch Superior,2.0,2.0 16v Automático 145v ,45000.0,102000,Automático,2009,2,Gasolina,Aceito Troca,Prata,Não,29/04/2023
Nissan,Versa,Sedan Compacto,1.6,1.6 16v SV ,58000.0,70000,Automático,2016,4,Bi-Combustível,Não Aceita Troca,Cinza,Não,29/04/2023
Hyundai,HB20 S,Sedan Compacto,1.0,1.0 8v HB20S UNIQ ,58900.0,59500,Manual,2019,5,Bi-Combustível,Aceito Troca,Branco,Não,28/04/2023
Chevrolet,Montana,Pick-up Compacta,1.4,1.4 8v LS ECONOFLEX ,35000.0,136000,Manual,2013,2,Bi-Combustível + Kit Gás,Não Aceita Troca,Prata,Não,28/04/2023
Jeep,Compass,SUV,2.0,2.0 TRAILHALK 4X4 ,136900.0,63000,Automático,2016,4,Diesel,Aceito Troca,Branco,Não,27/04/2023
Volkswagen,Passat Sedan,Sedan Superior,2.0,2.0 8v ,47000.0,12000,Manual,1996,5,Gasolina,Aceito Troca,Vermelho,Não,27/04/2023
Suzuki,Swift,Hatch Compacto,1.6,1.6 16v Coleção Sedan GLX 1.6 Placa Preta ,39000.0,74000,Manual,1993,4,Gasolina,Aceito Troca,Cinza,Não,27/04/2023
Fiat,Bravo,Hatch Médio,1.8,1.8 16v Essence ,31900.0,86000,Automático,2011,4,Bi-Combustível,Não Aceita Troca,Bege,Não,27/04/2023
Toyota,Hilux CD,Pick-up Grande,3.0,3.0 16v SRV 4x4 Turbo Automático ,155000.0,140000,Automático,2012,4,Diesel,Aceito Troca,Prata,Não,27/04/2023
Volkswagen,Santana,Sedan Médio,2.0,2.0 8v GL 2000 ,13500.0,190500,Manual,1992,4,Gasolina,Não Aceita Troca,Verde,Não,27/04/2023
Jeep,Renegade,Jipe,1.3,1.3 Trailhawk ,149990.0,18000,Automático,2022,4,Bi-Combustível,Não Aceita Troca,Preto,Não,26/04/2023
Audi,Q3,SUV,2.0,2.0 16v TFSI ,98000.0,84000,Automático,2015,5,Gasolina,Aceito Troca,Branco,Não,27/04/2023
Renault,Oroch,Pick-up Compacta,1.6,1.6 16v 4x2 ,78900.0,54000,Manual,2018,4,Gasolina + Kit Gás,Aceito Troca,Branco,Não,27/04/2023
Volkswagen,Saveiro Cab. Simples,Pick-up Compacta,1.6,1.6 ROBUSTER ,49900.0,126000,Manual,2016,2,Bi-Combustível,Não Aceita Troca,Branco,Não,27/04/2023
Hyundai,IX35,CrossOver,2.0,2.0 16v GL ,90000.0,102000,Automático,2017,4,Bi-Combustível,Não Aceita Troca,Branco,Não,27/04/2023
Volkswagen,Fox,Hatch Compacto,1.0,1.0 8v Trend ,23000.0,148329,Manual,2009,5,Bi-Combustível,Não Aceita Troca,Preto,Não,27/04/2023
Ford,KA Sedan,Sedan Compacto,1.5,1.5 12v SE 1.5 ,51900.0,45600,Manual,2018,4,Bi-Combustível,Não Aceita Troca,Prata,Não,27/04/2023
Volkswagen,Saveiro Cab. Simples,Pick-up Compacta,1.6,1.6 8v ROBUST 1.6 ,56900.0,127195,Manual,2018,2,Bi-Combustível,Não Aceita Troca,Prata,Não,27/04/2023
Volkswagen,T-Cross,SUV,1.0,1.0 8v TURBO ,99890.0,60000,Automático,2020,4,Bi-Combustível,Aceito Troca,Branco,Não,27/04/2023
Volkswagen,Amarok,Pick-up Grande,3.0,3.0 Highline v6 ,168000.0,85000,Automático,2018,4,Diesel,Aceito Troca,Prata,Não,27/04/2023
Mercedes,Benz Sprinter 313,Furgão Grande,2.0,2.0 CDI Alta e longa ,69999.0,450000,Manual,2007,4,Diesel,Aceito Troca,Branco,Não,27/04/2023
Volkswagen,Up!,Hatch Compacto,1.0,1.0 12v cross tsi ,63900.0,76000,Manual,2017,4,Bi-Combustível,Aceito Troca,Branco,Não,27/04/2023
Chevrolet,Tracker,CrossOver,1.2,1.2 ,122600.0,19600,Automático,2021,5,Bi-Combustível,Não Aceita Troca,Preto,Não,27/04/2023
Chevrolet,S 10 Cab. Dupla,Pick-up Grande,2.8,2.8 16v LTZ 2.8 Turbo AT ,200000.0,34700,Automático,2020,4,Diesel,Não Aceita Troca,Branco,Não,27/04/2023
Volkswagen,Saveiro Cab. Est.,Pick-up Compacta,1.6,1.6 8v Saveiro Cross ,45000.0,93000,Manual,2011,2,Bi-Combustível,Aceito Troca,Preto,Não,27/04/2023
Ford,Focus Hatch,Hatch Médio,2.0,2.0 TITANIUM TETO SOLAR AUTOMÁTICO ,47900.0,116000,Automático,2013,4,Bi-Combustível,Não Aceita Troca,Preto,Não,27/04/2023
Mitsubishi,L200,Pick-up Grande,3.5,3.5 16v Triton GLX ,101000.0,118000,Manual,2016,4,Diesel,Aceito Troca,Prata,Não,27/04/2023
BMW,320i,Sedan Superior,2.0,2.0 16v 320-i GP Automático ,225000.0,11000,Automático,2020,4,Gasolina,Não Aceita Troca,Branco,Não,27/04/2023
Volkswagen,T-Cross,SUV,1.4,1.4 ,125000.0,30000,Automático,2020,4,Bi-Combustível,Não Aceita Troca,Branco,Não,27/04/2023
Kia,Sportage,CrossOver,2.0,2.0 EX2 OFFG4 ,89500.0,100417,Automático,2014,4,Bi-Combustível,Não Aceita Troca,Prata,Não,27/04/2023
Chevrolet,Onix Hatch,Hatch Médio,1.4,1.4 8v LT 1.4 AUTOMÁTICO ,64000.0,68000,Automático,2019,4,Bi-Combustível,Não Aceita Troca,Preto,Não,27/04/2023
Hyundai,Azera,Sedan Superior,3.0,3.0 24v ,74900.0,126000,Automático,2012,5,Bi-Combustível,Não Aceita Troca,Preto,Não,27/04/2023
Jeep,Renegade,Jipe,2.0,2.0 SPORT DIESEL ,94900.0,164000,Automático,2016,4,Diesel,Não Aceita Troca,Branco,Não,27/04/2023
BMW,320i,Sedan Superior,2.2,2.2 16v ,58000.0,111000,Automático,2001,5,Gasolina,Aceito Troca,Prata,Não,27/04/2023
Hyundai,Azera,Sedan Superior,3.3,3.3 24v GLS V6 ,45900.0,120000,Automático,2009,4,Gasolina,Aceito Troca,Preto,Não,27/04/2023
Fiat,Argo,Hatch Médio,1.0,1.0 DRIVE ,47890.0,88700,Manual,2019,4,Bi-Combustível,Não Aceita Troca,Prata,Não,27/04/2023
Honda,Civic,Sedan Médio,2.0,2.0 LXR ,69500.0,145100,Automático,2013,4,Bi-Combustível,Não Aceita Troca,Cinza,Não,27/04/2023
Fiat,Toro,Pick-up Compacta,2.0,2.0 16v RANCH ,149900.0,81000,Automático,2019,4,Diesel,Não Aceita Troca,Branco,Não,27/04/2023
Honda,Fit,Hatch Médio,1.4,1.4 LXL Manual ,36900.0,150000,Manual,2009,4,Bi-Combustível,Não Aceita Troca,Prata,Não,27/04/2023
Fiat,Punto,Hatch Compacto,1.4,1.4 8v Attractive Itália ,46500.0,75000,Manual,2015,4,Bi-Combustível,Não Aceita Troca,Branco,Não,27/04/2023
Chevrolet,S 10 Cab. Dupla,Pick-up Grande,2.8,2.8 16v 2.8 CTDI LTZ 4X4 ,183000.0,52000,Automático,2017,4,Diesel,Não Aceita Troca,Cinza,Não,27/04/2023
Fiat,Strada Cab. Simples,Pick-up Compacta,1.4,1.4 8v ENDURANCE ,81000.0,6000,Manual,2022,2,Bi-Combustível,Aceito Troca,Branco,Não,27/04/2023
Toyota,Hilux SW4,SUV,2.8,2.8 SRX 7 lugares ,235900.0,107000,Automático,2017,4,Diesel,Aceito Troca,Branco,Não,27/04/2023
Volkswagen,CrossFox,CrossOver,1.6,1.6 8v G2 ,45000.0,152240,Manual,2012,5,Bi-Combustível,Não Aceita Troca,Amarelo,Não,27/04/2023
Volkswagen,Virtus,Sedan Compacto,1.0,1.0 1.0 200 TSI Comfortline - Automático ,79900.0,83313,Automático,2019,4,Bi-Combustível,Não Aceita Troca,Cinza,Não,27/04/2023
Volkswagen,T-Cross,SUV,1.0,1.0 12v T-Cross 200 TSI 1.0 Flex 12V 5p Aut. ,99890.0,34300,Automático,2020,5,Bi-Combustível,Não Aceita Troca,Branco,Não,27/04/2023
Mitsubishi,L200,Pick-up Grande,3.2,3.2 16v HPE Automático 4x4 ,130000.0,116000,Automático,2014,4,Diesel,Aceito Troca,Preto,Não,27/04/2023
Hyundai,HB20,Hatch Compacto,1.6,1.6 R Spec ,52900.0,84000,Manual,2016,4,Bi-Combustível,Aceito Troca,Vermelho,Não,27/04/2023
Ford,Fiesta Hatch,Hatch Compacto,1.6,1.6 16v TITANIUM PLUS AUT 2016 ,50000.0,117000,Automático,2015,4,Bi-Combustível,Aceito Troca,Preto,Não,27/04/2023
Suzuki,Jimny,Jipe,1.3,1.3 4 SPORT ,75000.0,83500,Manual,2014,2,Gasolina,Não Aceita Troca,Laranja,Não,27/04/2023
Ford,Fiesta Hatch,Hatch Compacto,1.6,1.6 16v SE ,50900.0,42247,Manual,2017,4,Bi-Combustível,Aceito Troca,Vermelho,Não,27/04/2023
Volkswagen,Jetta,Sedan Médio,2.0,2.0 HIGHLINE TSI 2.0 211CV ,82999.0,90500,Automático,2015,4,Gasolina,Não Aceita Troca,Branco,Não,27/04/2023
Chevrolet,S 10 Cab. Dupla,Pick-up Grande,2.4,2.4 8v LTZ ,86900.0,188000,Manual,2013,4,Bi-Combustível,Aceito Troca,Prata,Não,27/04/2023
Toyota,Corolla,Sedan Médio,2.0,2.0 16v XEI ,70900.0,129000,Automático,2013,4,Bi-Combustível,Não Aceita Troca,Preto,Não,27/04/2023
Fiat,Toro,Pick-up Compacta,2.0,2.0 16v Volcano 4X4 ,105900.0,132000,Automático,2017,4,Diesel,Não Aceita Troca,Branco,Não,27/04/2023
Volkswagen,Saveiro Cab Dupla,CrossOver Light,1.6,1.6 8v Robust ,65500.0,128000,Manual,2020,2,Bi-Combustível,Aceito Troca,Prata,Não,27/04/2023
Honda,Fit,Hatch Médio,1.5,1.5 16v Fit LX 1.5 mec ,72900.0,53400,Manual,2017,5,Bi-Combustível,Não Aceita Troca,Cinza,Não,28/04/2023
Volkswagen,Polo Sedan,Sedan Compacto,1.6,1.6 8v Comfortline ,30900.0,210000,Automatizado,2010,4,Bi-Combustível,Não Aceita Troca,Prata,Não,28/04/2023
Ford,F 250,Pick-up Grande,6.1,6.1 8v Cabine dupla ,149000.0,245000,Manual,2005,4,Diesel,Não Aceita Troca,Verde,Não,28/04/2023
Toyota,Corolla,Sedan Médio,2.0,2.0 16v XRS FLEX 4P AUTOMÁTICO ,103900.0,62000,Automático,2017,4,Bi-Combustível,Não Aceita Troca,Branco,Não,28/04/2023
Volkswagen,Kombi,Minivan Média,1.6,1.6 8v Carroceria aberta ,18000.0,165000,Manual,1978,2,Gasolina,Não Aceita Troca,Bege,Não,28/04/2023
Honda,HR-V,SUV,1.5,1.5 EXL ,155000.0,12000,Automático,2022,4,Bi-Combustível,Não Aceita Troca,Branco,Não,28/04/2023
Chevrolet,Onix Hatch,Hatch Médio,1.0,1.0 12v PREMIER II ,93200.0,20000,Automático,2021,5,Bi-Combustível,Não Aceita Troca,Prata,Não,28/04/2023
Nissan,Kicks,Hatch Suv Compacto,1.6,1.6 8v NISSAN KICKS ,79900.0,67100,Manual,2018,5,Bi-Combustível,Não Aceita Troca,Branco,Não,28/04/2023
Ford,Fiesta Hatch,Hatch Compacto,1.0,1.0 8v Hatch ,26000.0,82220,Manual,2012,4,Bi-Combustível,Não Aceita Troca,Prata,Não,28/04/2023
Renault,Kwid,Hatch Compacto,1.0,1.0 12v Intens ,41900.0,60000,Manual,2017,4,Bi-Combustível,Não Aceita Troca,Branco,Não,28/04/2023
Fiat,Mobi,Hatch Compacto,1.0,1.0 Like ,46900.0,120000,Manual,2019,4,Bi-Combustível,Aceito Troca,Branco,Não,28/04/2023
Hyundai,Tucson,CrossOver,2.0,2.0 GL.2.0 ,39800.0,52000,Automático,2008,4,Gasolina,Não Aceita Troca,Prata,Não,28/04/2023
Jeep,Renegade,Jipe,1.8,1.8 16v LIMITED ,114000.0,33369,Automático,2021,4,Bi-Combustível,Não Aceita Troca,Preto,Não,28/04/2023
Jeep,Renegade,Jipe,1.8,1.8 16v LIMITED ,103900.0,25000,Automático,2019,4,Bi-Combustível,Não Aceita Troca,Marrom,Não,28/04/2023
Toyota,Corolla,Sedan Médio,1.8,1.8 GLI UPPER ,90900.0,75000,Automático,2018,5,Bi-Combustível,Não Aceita Troca,Cinza,Não,28/04/2023
Ford,Ranger Cab. Dupla,Pick-up Grande,3.0,3.0 ,58900.0,200000,Manual,2006,4,Diesel,Aceito Troca,Preto,Não,28/04/2023
Renault,Captur,SUV,2.0,2.0 INTENSE ,86900.0,43000,Automático,2021,5,Bi-Combustível,Não Aceita Troca,Prata,Não,28/04/2023
Honda,City Sedan,Sedan Compacto,1.5,1.5 EX ,44000.0,122,Automático,2011,4,Bi-Combustível,Não Aceita Troca,Cinza,Não,28/04/2023
Mercedes,Benz C 180,Sedan Superior,1.8,1.8 CGI Classic 156cv ,55800.0,106000,Automático,2010,4,Gasolina,Não Aceita Troca,Branco,Não,28/04/2023
Ford,Ranger Cab. Dupla,Pick-up Grande,3.2,3.2 LIMITED ,262000.0,19500,Automático,2021,4,Diesel,Aceito Troca,Cinza,Não,28/04/2023
BMW,320i,Sedan Superior,2.0,2.0 16v SPORT GP ACTIVE FLEX ,94900.0,71000,Automático,2013,4,Bi-Combustível,Não Aceita Troca,Prata,Não,28/04/2023
BMW,X1,CrossOver,2.0,2.0 16v X1 SDRIVE 18i 2.0 16V 4x2 Aut. ,73900.0,51196,Automático,2011,4,Gasolina,Não Aceita Troca,Prata,Não,28/04/2023
Hyundai,HB20,Hatch Compacto,1.6,1.6 16v C.Style/C.Plus 1.6 Flex 16V Aut. ,55900.0,52000,Automático,2018,4,Bi-Combustível,Aceito Troca,Preto,Não,28/04/2023
Fiat,Punto,Hatch Compacto,1.4,1.4 8v Attractive Itália ,39700.0,92000,Manual,2013,4,Bi-Combustível,Não Aceita Troca,Branco,Não,28/04/2023
Honda,Civic,Sedan Médio,2.0,2.0 16v Ex 2.0 ,101890.0,68140,Automático,2017,4,Bi-Combustível,Aceito Troca,Prata,Não,28/04/2023
Toyota,Corolla Cross,SUV,2.0,2.0 8v XEI 2.0 AUTOMÁTICO ,153900.0,24500,Automático,2021,4,Bi-Combustível,Não Aceita Troca,Preto,Não,28/04/2023
Fiat,Toro,Pick-up Compacta,2.0,2.0 ULTRA ,181900.0,13000,Automático,2022,4,Diesel,Não Aceita Troca,Preto,Não,28/04/2023
Chevrolet,Prisma,Sedan Compacto,1.0,1.0 LT ,45900.0,72000,Manual,2014,4,Bi-Combustível,Não Aceita Troca,Prata,Não,28/04/2023
Nissan,Kicks,Hatch Suv Compacto,1.6,1.6 16v SV CVT ,85000.0,85000,Automático,2017,4,Bi-Combustível,Aceito Troca,Cinza,Não,28/04/2023
Volkswagen,Jetta,Sedan Médio,2.0,2.0 8v comfortline ,49000.0,202060,Automático,2011,4,Bi-Combustível,Aceito Troca,Prata,Não,28/04/2023
Land Rover,Range Rover Evoque,SUV,3.0,3.0 6v PURE ,95000.0,100000,Automático,2011,5,Gasolina,Aceito Troca,Branco,Não,28/04/2023
Land Rover,Range Rover Evoque,SUV,3.0,3.0 6v PURE ,95000.0,100000,Automático,2011,5,Gasolina,Aceito Troca,Branco,Não,28/04/2023
Fiat,Toro,Pick-up Compacta,2.0,2.0 16v 4x4 Turbo Diesel 170 cv manual Freedom ,99900.0,93000,Manual,2016,4,Diesel,Aceito Troca,Branco,Não,28/04/2023
Nissan,March,Hatch Compacto,1.6,1.6 16v SL Flex Fuel 5p ,39900.0,112000,Manual,2015,5,Bi-Combustível,Não Aceita Troca,Azul,Não,28/04/2023
Fiat,Toro,Pick-up Compacta,2.0,2.0 Volcano 4x4 ,149900.0,22000,Automático,2019,4,Diesel,Não Aceita Troca,Cinza,Não,28/04/2023
Volkswagen,Nivus,SUV,1.0,1.0 8v HIGHLINE ,116100.0,39150,Automático,2020,5,Bi-Combustível,Não Aceita Troca,Cinza,Não,28/04/2023
Toyota,Hilux SW4,SUV,2.8,2.8 16v SRX ,302000.0,39992,Automático,2019,5,Diesel,Não Aceita Troca,Branco,Não,28/04/2023
Hyundai,Creta,SUV,2.0,2.0 Creta Prestige 2.0 Flex ,94500.0,59800,Automático,2019,4,Bi-Combustível,Não Aceita Troca,Prata,Não,28/04/2023
Hyundai,HB20 X,Hatch Médio,1.6,1.6 Style ,54000.0,96000,Manual,2014,4,Bi-Combustível,Não Aceita Troca,Prata,Não,28/04/2023
Volkswagen,Polo Hatch,Hatch Compacto,1.0,1.0 COMFORTLINE ,72500.0,61000,Automático,2019,4,Bi-Combustível,Não Aceita Troca,Preto,Não,28/04/2023
Volkswagen,Saveiro Cab. Simples,Pick-up Compacta,1.6,1.6 8v 1.6 Trendline Completa ,76900.0,29000,Manual,2021,2,Bi-Combustível,Aceito Troca,Branco,Não,28/04/2023
Toyota,Corolla,Sedan Médio,2.0,2.0 16v Xei ,78500.0,171000,Automático,2014,4,Bi-Combustível,Não Aceita Troca,Prata,Não,28/04/2023
BMW,320i,Sedan Superior,2.0,2.0 8v Bmw320i M ,284999.0,6000,Automático,2021,4,Bi-Combustível,Aceito Troca,Preto,Não,29/04/2023
Fiat,Strada Cab Dupla,Pick-up Compacta,1.8,1.8 6v Strada Advanture Duologic Cabine Dupla 1.8 ,49000.0,120000,Automático,2013,2,Bi-Combustível,Não Aceita Troca,Vermelho,Não,29/04/2023
Volkswagen,Saveiro Cab. Est.,Pick-up Compacta,1.6,1.6 16v CROSS 1.6 16 V ,61990.0,140000,Manual,2014,2,Bi-Combustível,Aceito Troca,Branco,Não,29/04/2023
Ford,KA Sedan,Sedan Compacto,1.5,1.5 12v Ford KA Sedan SE 1.5 ,54900.0,48000,Manual,2018,4,Bi-Combustível,Não Aceita Troca,Prata,Não,29/04/2023
Toyota,Corolla,Sedan Médio,1.8,1.8 16v GLi Upper ,89900.0,83000,Automático,2017,4,Bi-Combustível,Aceito Troca,Prata,Não,29/04/2023
Honda,City Sedan,Sedan Compacto,1.5,1.5 16v LX ,55000.0,89000,Automático,2012,4,Bi-Combustível,Não Aceita Troca,Prata,Não,29/04/2023
Honda,Civic,Sedan Médio,2.0,2.0 16v EX CVT ,110000.0,36700,Automático,2019,4,Bi-Combustível,Não Aceita Troca,Preto,Não,29/04/2023
Honda,Civic,Sedan Médio,1.8,1.8 16v 1.8 LXS MANUAL ,41900.0,161000,Manual,2009,4,Bi-Combustível,Não Aceita Troca,Dourado,Não,29/04/2023
Jeep,Compass,SUV,2.0,2.0 16v LIMITED S + TETO ,175000.0,42000,Automático,2020,4,Diesel,Não Aceita Troca,Marrom,Não,29/04/2023
